"","scientificName"
"1","Archaeorhizomyces"
"2","Cryptocoryneum"
"3","Geotrichum"
"4","Gromochytrium"
"5","Orbilia"
"6","Others (<2%)"
"7","Pannoparmelia"
"8","Patellariopsis"
"9","Ramalina"
"10","Rhizophlyctis"
"11","Symbiotaphrina"
"12","Bacillicladium"
"13","Deltopyxis"
"14","Neoprotoparmelia"
"15","Toxicocladosporium"
"16","Verrucaria"
"17","Diutina"
"18","Serendipita"
"19","Scytalidium"
"20","Amylocarpus"
"21","Metschnikowia"
"22","Hygrocybe"
