,sh,kingdom,phylum,class,order,family,genus,assignedLevel
0,SH1146893.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
1,SH1310971.09FU,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,,,order
2,SH0943983.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3,SH1311052.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
4,SH1276050.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Clavulinaceae,,family
5,SH1218565.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,genus
6,SH1068285.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Patellariopsis,genus
7,SH0930058.09FU,k__Fungi,p__Ascomycota,c__Xylonomycetes,o__Symbiotaphrinales,f__Symbiotaphrinaceae,g__Symbiotaphrina,genus
8,SH1075626.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
9,SH1151113.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
10,SH1171539.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Psilocybe,genus
11,SH1235113.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,genus
12,SH1022563.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
13,SH1001150.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Dipodascaceae,g__Geotrichum,genus
14,SH1282620.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
15,SH1074799.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,g__Ramalina,genus
16,SH1250709.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,genus
17,SH1048937.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
18,SH1120057.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
19,SH1129966.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
20,SH1135806.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
21,SH0904041.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
22,SH0995772.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
23,SH1207562.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,genus
24,SH1276408.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,genus
25,SH1174856.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
26,SH1154460.09FU,k__Fungi,p__Chytridiomycota,c__Rhizophlyctidomycetes,o__Rhizophlyctidales,f__Rhizophlyctidaceae,g__Rhizophlyctis,genus
27,SH1164897.09FU,k__Fungi,p__Ascomycota,c__Pneumocystomycetes,o__Pneumocystales,f__Pneumocystaceae,g__Pneumocystis,genus
28,SH1078813.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
29,SH1086532.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
30,SH1003144.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
31,SH1293655.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,,family
32,SH1105868.09FU,k__Fungi,p__Chytridiomycota,c__Cladochytriomycetes,o__Cladochytriales,f__Cladochytriaceae,g__Cladochytrium,genus
33,SH0924365.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
34,SH1278460.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Bankeraceae,g__Sarcodon,genus
35,SH1086721.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
36,SH1069104.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Metschnikowiaceae,g__Metschnikowia,genus
37,SH0931297.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Coniosporium,genus
38,SH1030420.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Amylocarpus,genus
39,SH1240386.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Endoconidioma,genus
40,SH1182718.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,genus
41,SH0994537.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Baeomycetales,f__Baeomycetaceae,g__Baeomyces,genus
42,SH0968640.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Rutstroemiaceae,g__Bicornispora,genus
43,SH0891959.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Bacillicladium,genus
44,SH2341774.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Neofusicoccum,genus
45,SH1049034.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
46,SH1003131.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
47,SH0983540.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,class
48,SH1294921.09FU,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Sarcosomataceae,g__Plectania,genus
49,SH1256074.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Irpicaceae,g__Ceriporia,genus
50,SH1197620.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meripilaceae,,family
51,SH0996972.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cuniculitremaceae,g__Kockovaella,genus
52,SH1290389.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pleurotaceae,g__Pleurotus,genus
53,SH1171922.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Callistosporiaceae,,family
54,SH1218205.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Cuphophyllus,genus
55,SH0998653.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,,,order
56,SH1159533.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,,family
57,SH0922769.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
58,SH1175787.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Metschnikowiaceae,g__Clavispora,genus
59,SH1080985.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,,family
60,SH0940810.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
61,SH1075938.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,g__Pannoparmelia,genus
62,SH1200405.09FU,k__Fungi,p__Chytridiomycota,c__Cladochytriomycetes,o__Cladochytriales,f__Nowakowskiellaceae,g__Nowakowskiella,genus
63,SH0912713.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
64,SH1039133.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,genus
65,SH0934868.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Toxicocladosporium,genus
66,SH0950546.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
67,SH1320865.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Bankeraceae,g__Hydnellum,genus
68,SH0999926.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,genus
69,SH1000043.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Stenella,genus
70,SH1086748.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
71,SH1278463.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Bankeraceae,g__Sarcodon,genus
72,SH1208343.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,class
73,SH1279288.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrophorus,genus
74,SH1275205.09FU,k__Fungi,p__Blastocladiomycota,c__Blastocladiomycetes,o__Blastocladiales,f__Catenariaceae,,family
75,SH0976030.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Xenochalara,genus
76,SH0959353.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,,,,class
77,SH1829381.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Diutina,genus
78,SH0944768.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Rachicladosporium,genus
79,SH0992003.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,genus
80,SH1240507.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Scleroconidioma,genus
81,SH0916329.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,,,order
82,SH0944912.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Hyalorbilia,genus
83,SH0936365.09FU,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Glutinoglossum,genus
84,SH1171215.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Tulostoma,genus
85,SH1207486.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Polyozellus,genus
86,SH0897218.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,class
87,SH1309424.09FU,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Kondoaceae,g__Kondoa,genus
88,SH1028819.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Chalara,genus
89,SH1046568.09FU,k__Fungi,p__Ascomycota,,,,,phylum
90,SH0948123.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,,,,class
91,SH1232741.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
92,SH0998719.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Racocetraceae,g__Racocetra,genus
93,SH1328683.09FU,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascodesmidaceae,g__Pulchromyces,genus
94,SH1303723.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
95,SH1049046.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
96,SH0945576.09FU,k__Fungi,p__Rozellomycota,,,,,phylum
97,SH1001219.09FU,k__Fungi,p__Ascomycota,,,,,phylum
98,SH1178744.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Derxomyces,genus
99,SH1075841.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,g__Menegazzia,genus
100,SH1105841.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Rimbachia,genus
101,SH1213965.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Arrhenia,genus
102,SH1294458.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
103,SH1999842.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Mycosphaerella,genus
104,SH1049042.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
105,SH0899328.09FU,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS03,,,order
106,SH1323796.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Pseudotomentella,genus
107,SH0942172.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Hymenochaetaceae,g__Inonotus,genus
108,SH1297570.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS21,,,order
109,SH1743671.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Debaryomycetaceae,g__Spathaspora,genus
110,SH1081415.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Cryptocoryneum,genus
111,SH1678679.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
112,SH1196265.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Trichomonascaceae,g__Sugiyamaella,genus
113,SH1136191.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Hypomyces,genus
114,SH1086694.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
115,SH1160054.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Arthrodermataceae,g__Nannizzia,genus
116,SH0956828.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Pragmopora,genus
117,SH0902764.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Gamsylella,genus
118,SH1201718.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Clitocybe,genus
119,SH0897551.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,class
120,SH1073291.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
121,SH1106504.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,,family
122,SH0943938.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,,,,class
123,SH0915246.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,genus
124,SH0897233.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
125,SH1285756.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
126,SH1276475.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
127,SH1302928.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,,family
128,SH0982490.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
129,SH1030205.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
130,SH1079362.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,,family
131,SH1225070.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,genus
132,SH2043738.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Bankeraceae,g__Sarcodon,genus
133,SH0997381.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Rhytismatales,f__Rhytismataceae,g__Parvacoccum,genus
134,SH0912921.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
135,SH1197853.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
136,SH1112275.09FU,k__Fungi,p__Chytridiomycota,c__Lobulomycetes,o__Lobulomycetales,f__Lobulomycetaceae,g__Clydaea,genus
137,SH1289749.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lyophyllaceae,g__Termitomyces,genus
138,SH1136932.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,,family
139,SH1237129.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,,family
140,SH0930997.09FU,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Trichoglossum,genus
141,SH0997903.09FU,k__Fungi,p__Ascomycota,,,,,phylum
142,SH0910701.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
143,SH1205485.09FU,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,,,order
144,SH1271965.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Steccherinaceae,g__Odonticium,genus
145,SH1110598.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Paraisaria,genus
146,SH1105840.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Omphalina,genus
147,SH1306722.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeriopsis,genus
148,SH0963075.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
149,SH1118194.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
150,SH1039879.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Bulleribasidium,genus
151,SH0924314.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
152,SH1300790.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
153,SH1047595.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
154,SH1083676.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Verrucariales,f__Verrucariaceae,g__Verrucaria,genus
155,SH0925368.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
156,SH0997995.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Prillingera,genus
157,SH1164718.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanoromycetes_ord_Incertae_sedis,f__Lecanoromycetes_fam_Incertae_sedis,g__Deltopyxis,genus
158,SH1292082.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Exutisphaerella,genus
159,SH1189014.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
160,SH2004605.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Polyozellus,genus
161,SH0979306.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Pezicula,genus
162,SH1189336.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,genus
163,SH0996343.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Acrospermales,f__Acrospermaceae,g__Acrospermum,genus
164,SH0982661.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
165,SH0912786.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
166,SH1173994.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hydnangiaceae,g__Laccaria,genus
167,SH1318681.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Pseudotomentella,genus
168,SH1400380.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,genus
169,SH1068826.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Peniophoraceae,g__Peniophora,genus
170,SH1306081.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Helicoma,genus
171,SH1134747.09FU,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,genus
172,SH1069119.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Metschnikowiaceae,g__Metschnikowia,genus
173,SH1134851.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Kazachstania,genus
174,SH1057429.09FU,k__Fungi,p__Chytridiomycota,c__Cladochytriomycetes,o__Cladochytriales,f__Cladochytriaceae,g__Cladochytrium,genus
175,SH1804689.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Pilodermataceae,g__Tretomyces,genus
176,SH0885571.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Peltigerales,f__Nephromataceae,g__Nephroma,genus
177,SH1023753.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Sclerococcales,f__Dactylosporaceae,g__Dactylospora,genus
178,SH1294468.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
179,SH1074546.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,genus
180,SH1265508.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Steccherinaceae,g__Flaviporus,genus
181,SH0940749.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,,,,class
182,SH1053212.09FU,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS08,,,order
183,SH1025524.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
184,SH1071710.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Marasmiaceae,g__Marasmius,genus
185,SH1318603.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
186,SH1296297.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,genus
187,SH1238400.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Bankeraceae,g__Phellodon,genus
188,SH0883686.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,genus
189,SH1278566.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Marquandomyces,genus
190,SH0982401.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
191,SH1276478.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,,family
192,SH1288054.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Xerombrophila,genus
193,SH1099412.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,,family
194,SH1127233.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,,family
195,SH1277485.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,,family
196,SH1117826.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,genus
197,SH1314477.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Dictyonema,genus
198,SH1205285.09FU,k__Fungi,p__Chytridiomycota,c__Cladochytriomycetes,o__Cladochytriales,f__Endochytriaceae,g__Endochytrium,genus
199,SH1288541.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,genus
200,SH1901878.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,genus
201,SH0910182.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
202,SH1095724.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,,family
203,SH0939196.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__GS33,,,order
204,SH0954085.09FU,k__Fungi,p__Ascomycota,c__Sareomycetes,o__Sareales,f__Sareaceae,g__Sarea,genus
