,sh,kingdom,phylum,class,order,family,genus,assignedLevel
999,SH0880181.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
1000,SH0910392.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
1001,SH1267651.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
1002,SH0983292.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Gomphales,f__Gomphaceae,g__Ramaria,genus
1005,SH1255402.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meruliaceae,g__Scopuloides,genus
1006,SH0940501.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Melanconidaceae,g__Melanconiella,genus
1009,SH0966477.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
1010,SH1098054.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,genus
1012,SH1152264.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,,family
1013,SH1078712.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
1014,SH1258555.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
1015,SH1159398.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,,family
1016,SH1395516.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Sorocybe,genus
1017,SH0898014.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
1019,SH0911026.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
1020,SH0957219.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
1021,SH1294298.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
1022,SH0949590.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,order
1023,SH1072697.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,,,order
1024,SH0907834.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
1026,SH1325485.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
1028,SH0982448.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Albotricha,genus
1029,SH0982381.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Albotricha,genus
1030,SH1304351.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,genus
1036,SH0952621.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,,family
1037,SH0920402.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
1039,SH1031927.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Chalara,genus
1040,SH1210803.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Dennisiomyces,genus
1041,SH1539350.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Rhynchogastremataceae,g__Papiliotrema,genus
1043,SH0957700.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
1046,SH0880088.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
1047,SH0944139.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
1049,SH0951096.09FU,k__Fungi,p__Ascomycota,,,,,phylum
1050,SH0940613.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
1051,SH1190131.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Podoscyphaceae,g__Podoscypha,genus
1053,SH1254927.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
