,sh,phylum,class,order,family,genus,species
14558,AB021695.1.1770,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,Rhodosporidiobolus ruineniae
14561,AB002078.1.1771,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides
14562,AB033482.1.1781,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Podosphaera xanthii
14584,AB032119.1.2081,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia argillacea
14588,AB018402.1.1750,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis
14591,AB021694.1.1758,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporidiobolus,Sporidiobolus pararoseus
14595,AB003949.1.1773,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,Nectria cinnabarina
14607,AB028137.1.1770,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium expansum
14638,AB019215.1.1723,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia membranifaciens
14640,AB032645.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma podzolica
14703,AB054280.1.1748,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis
14707,AB022187.1.1815,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Wolfiporia,Wolfiporia cocos
14713,AB027319.1.1520,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,Tolypocladium jezoense
14714,AB023475.1.1727,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora-Candida,Clavispora-Candida clade
14734,AB054572.1.1757,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Barnettozyma-Candida,Barnettozyma-Candida clade
14740,AB054556.1.1762,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
14745,AB023944.1.1727,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Cordyceps fumosorosea
14747,AB054564.1.1759,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera-Candida,Cyberlindnera-Candida clade
14748,AB054882.1.1753,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Starmera-Candida,Starmera-Candida clade
14755,AB027336.1.1520,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana
14798,AB023469.1.1721,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia reukaufii
14805,AB027756.1.1733,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea-Candida,Kodamaea-Candida clade
14808,AB023470.1.1719,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia sp. IFO1406
14827,AB032638.1.1781,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungarica
14838,AB032643.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium magnum
14859,AB032654.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia vishniacii
14879,AB070375.1.2543,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps militaris
14909,AB070374.1.2543,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps militaris
15031,AB030321.1.1756,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces blumeae
15035,AB072234.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Piskurozyma,Piskurozyma taiwanensis
15044,AB032662.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella sichuanensis
15077,AB030322.1.1760,Basidiomycota,Cystobasidiomycetes,Incertae Sedis,Incertae Sedis,Symmetrospora,Symmetrospora vermiculata
15110,AB008403.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans
15121,AB035586.1.1792,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Vanrija,Vanrija longa
