,sh,phylum,class,order,family,genus,species
372,AC152122.12011.13800,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis
599,AC152108.6054.7843,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis
1774,KF176610.1.1631,Basidiomycota,Agaricomycetes,Haliclona sp. BC1,,Haliclona,Haliclona sp. BC1
2694,LC187038.1.1606,Basidiomycota,,,,,
3004,MH697739.1.1812,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Polyrhabdina sp. SR-2018a
4602,CU874468.1.1374,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora anserina
7167,JB973635.6.1232,Ascomycota,Sordariomycetes,Sphaerodes mycoparasitica,,Sphaerodes,Sphaerodes mycoparasitica
9384,GZ486156.1.1688,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania-Candida,Kazachstania-Candida clade
9416,GZ486155.2.1699,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania-Candida,Kazachstania-Candida clade
9845,GZ486161.1.1696,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
9943,GZ486163.1.1707,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,unidentified
10397,AB000663.1.2107,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,Blastobotrys terrestris
10404,AB001110.1.1772,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Cephaliophora,Cephaliophora tropica
10413,AB002062.1.1771,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavipes
10415,AB002074.1.1751,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus cremeus
10421,AB003944.1.2196,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Trichocoma,Trichocoma paradoxa
10424,AB005561.1.1759,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella imperatae
10430,AB007667.1.1754,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia europhioides
10478,AB000651.1.1736,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum fermentans
10481,AB000956.1.1740,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina pruni
10489,AB002082.1.1761,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Eurotium,Eurotium athecium
10491,AB003788.1.1749,Ascomycota,Sordariomycetes,Sordariales,Incertae Sedis,Kionochaeta,Kionochaeta ramifera
10493,AB003952.1.1777,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Chromocleista,Chromocleista cinnabarina
10495,AB007656.1.1746,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Graphilbum,Graphilbum fragrans
10496,AB007657.1.1755,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Graphium,Graphium album
10497,AB007663.1.1745,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma piceae
10498,AB007668.1.1749,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium penicillatum
10508,AB013502.1.1731,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Diutina rugosa
10510,AB013518.1.1784,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Candida insectamans
10514,AB013542.1.1781,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
10520,AB014045.1.1771,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon fragiforme
10524,AB015767.1.1686,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron,Auxarthron compactum
10526,AB015782.1.1688,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Ascocalvatia,Ascocalvatia alveolata
10532,AB016010.1.1740,Zoopagomycotina,Zoopagales,Kuzuhaea,Kuzuhaea moniliformis,Kuzuhaea,Kuzuhaea moniliformis
10535,AB016292.1.1752,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis
10537,AB016510.1.1753,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania-Candida,Kazachstania-Candida clade
10543,AB018123.1.1765,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,Blastobotrys adeninivorans
10605,HJ972137.44.1828,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,unidentified
10623,AB000638.1.1596,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Dipodascus,Dipodascus ambrosiae
10629,AB000656.1.1594,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Saprochaete,Saprochaete suaveolens
10642,AB013010.1.2469,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys rosea
10646,AB013516.1.1776,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
10654,AB002076.1.1798,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus amstelodami
10655,AB013560.1.1773,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Candida austromarina
10670,AB005452.1.1760,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera penniseticola
10672,AB005481.1.1756,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella phaffii
10694,AB016013.1.1900,Zoopagomycotina,Zoopagales,Sigmoideomycetaceae,Thamnocephalis,Thamnocephalis,Thamnocephalis sphaerospora
10728,AB000646.1.1738,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Galactomyces,Galactomyces reessii
10729,AB000653.1.1594,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Magnusiomyces,Magnusiomyces magnusii
10741,AB001726.1.1756,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon asahii
10743,AB001766.1.1759,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia pullulans
10744,AB002067.1.1623,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Sclerocleista,Sclerocleista ornata
10752,AB004331.1.1640,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides
10754,AB006716.1.1734,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces luteus
10760,AB007659.1.1749,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Graphium,Graphium fructicola
10821,GZ486164.1.1681,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania-Candida,Kazachstania-Candida clade
10865,AB018179.1.1774,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
10867,AB018182.1.1568,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Komagataella,Komagataella pastoris
10885,AB021689.1.1759,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporidiobolus,Sporidiobolus pararoseus
10887,AB021869.1.1750,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis
10916,AB023948.1.1732,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys,Byssochlamys spectabilis
10981,AB000645.1.1744,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Dipodascus,Dipodascus aggregatus
10998,AB001033.1.1755,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Fellomyces,Fellomyces horovitziae
11007,AB001757.1.1756,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon inkin
11010,AB001765.1.1756,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon ovoides
11012,AB002066.1.1771,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sparsus
11019,AB000643.1.1748,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Dipodascus,Dipodascus australiensis
11021,AB000664.1.1737,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Galactomyces,Galactomyces citri-aurantii
11022,AB004330.1.1640,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides
11024,AB006005.1.1755,Basidiomycota,Agaricomycetes,Polyporales,Incertae Sedis,Tretopileus,Tretopileus sphaerophorus
11025,AB000955.1.1750,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina nana
11026,AB007653.1.1756,Ascomycota,Sordariomycetes,Microascales,Graphiaceae,Graphium,Graphium penicillioides
11027,AB000960.1.1740,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina virginica
11033,AB001747.1.2653,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Incertae Sedis,Jianyunia,Jianyunia sakaguchii
11035,AB001754.1.1758,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum domesticum
11038,AB002063.1.1767,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus wentii
11039,AB002075.1.1771,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus acanthosporus
11092,GZ486162.1.1730,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
11106,AB013517.1.1784,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma-Candida,Meyerozyma-Candida clade
11107,AB013520.1.1783,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida glaebosa clade
11110,AB013532.1.1781,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
11112,AB013554.1.1735,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea-Candida,Kodamaea-Candida clade
11132,AB015766.1.1687,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron,Auxarthron kuehnii
11133,AB000640.1.1752,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Dipodascus,Dipodascus macrosporus
11135,AB000659.1.1756,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,Blastobotrys adeninivorans
11136,AB015781.1.1683,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Apinisia,Apinisia graminicola
11137,AB000951.1.1742,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina flavorubra
11151,AB001760.1.1758,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum laibachii
11159,AB002072.1.1779,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ustus
11161,AB002079.1.1770,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus restrictus
11169,AB003808.1.1777,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus cervinus
11174,AB005453.1.1754,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella sacchari
11179,AB017895.1.1700,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Phaffomyces,Phaffomyces opuntiae
11190,AB018133.1.1683,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,[Candida] incommunis
11201,AB008405.1.1734,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus
11208,AB013504.1.1759,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida tanzawaensis clade
11212,AB013535.1.1783,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Candida multigemmis
11215,AB013562.1.1781,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
11220,AB014046.1.1773,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon fragiforme
11235,AB016293.1.1752,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis
11244,AB018127.1.1657,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Starmerella-Candida,Starmerella-Candida clade
11248,AB018134.1.1772,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Middelhovenomyces,Candida antillancae
11252,AB008413.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicilliopsis,Penicilliopsis zonata
11258,AB012264.1.1776,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces nonfermentans
11259,AB013505.1.1774,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
11261,AB013521.1.1782,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida glaebosa clade
11262,AB013536.1.1780,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
11263,AB013544.1.1782,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida glaebosa clade
11268,AB013586.1.1769,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida-Lodderomyces,Candida-Lodderomyces clade
11270,AB014400.1.1769,Ascomycota,Incertae Sedis,Incertae Sedis,Incertae Sedis,Lecophagus,Lecophagus longisporus
11305,AB017897.1.1735,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Starmera-Candida,Starmera-Candida clade
11307,AB018125.1.1764,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,JCM8259,Candida blankii
11311,AB018130.1.1726,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Magnusiomyces,Magnusiomyces ingens
11328,AB000647.1.1737,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Galactomyces candidus
11334,AB001111.1.1772,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Cephaliophora,Cephaliophora tropica
11335,AB001727.1.1756,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon coremiiforme
11408,AB001034.1.1778,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Fellomyces,Fellomyces penicillatus
11414,AB001758.1.1756,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Cutaneotrichosporon jirovecii
11417,AB000661.1.1756,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Sugiyamaella,Sugiyamaella smithiae
11435,AB008398.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus clavatus
11437,AB006747.1.1739,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Chromocleista,Chromocleista cinnabarina
11439,AB002080.1.1777,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium paradoxum
11441,AB008407.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus restrictus
11450,AB011050.1.1649,Basidiomycota,Pucciniomycetes,Aecidium epimedii,,Aecidium,Aecidium epimedii
11451,AB005479.1.1756,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella machilophila
11453,AB005482.1.1756,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella schimae
11462,AB018140.1.1766,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Sugiyamaella,Sugiyamaella chiloensis
11473,AB013526.1.1776,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
11483,AB018168.1.1788,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Nakazawaea,Candida karawaiewii
11492,AB018181.1.1780,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
11497,AB013589.1.1768,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida-Lodderomyces,Candida-Lodderomyces clade
11506,AB015771.1.1685,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Ctenomyces,Ctenomyces serratus
11515,AB021688.1.2088,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Ballistosporomyces,Ballistosporomyces sasicola
11517,AB021697.1.1781,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporidiobolus salmonicolor
11530,AB016291.1.1752,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis
11548,AB023413.1.1767,Basidiomycota,Exobasidiomycetes,Entylomatales,Incertae Sedis,Tilletiopsis,Tilletiopsis cremea
11560,AB000649.1.1595,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Magnusiomyces,Magnusiomyces spicifer
11570,AB018136.1.1710,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,JCM8259,Groenewaldozyma auringiensis
11586,AB002060.1.1778,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides
11587,AB002070.1.1776,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus clavatus
11592,AB003790.1.1751,Ascomycota,Sordariomycetes,Sordariales,Incertae Sedis,Kionochaeta,Kionochaeta spissa
11595,AB007652.1.1746,Ascomycota,Sordariomycetes,Microascales,Graphiaceae,Graphium,Graphium penicillioides
11630,AB008409.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus
11647,AB018156.1.1758,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Wickerhamiella versatilis
11650,AB013529.1.1772,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Candida sake
11653,AB018180.1.1785,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Nakazawaea,Nakazawaea holstii
11674,AB013580.1.1747,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia reukaufii
11695,AB021677.1.1756,Basidiomycota,Cystobasidiomycetes,Incertae Sedis,Incertae Sedis,Symmetrospora,[Sporobolomyces] oryzicola
11708,AB021690.1.1763,Basidiomycota,Microbotryomycetes,Incertae Sedis,Chrysozymaceae,Hamamotoa,Hamamotoa singularis
11723,AB000948.1.1774,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina carnea
11742,AB001728.1.1756,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon faecale
11750,AB001759.1.1758,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum loubieri
11767,AB002061.1.1771,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavipes
11773,AB000655.1.1595,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Saprochaete,Saprochaete clavata
11776,AB002071.1.1778,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus alliaceus
11785,AB002077.1.1794,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides
11794,AB002084.1.1779,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus
11797,AB018150.1.1762,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Spencermartinsiella,Candida santjacobensis
11803,AB003786.1.1748,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Chaetopsina,Chaetopsina fulva
11823,AB018178.1.1780,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Kuraishia,Kuraishia capsulata
11835,AB023950.1.1732,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia byssochlamydoides
11838,AB024589.1.2078,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,Sagenomella diversispora
11845,AB030320.1.1757,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,Rhodosporidiobolus poonsookiae
11882,KF905649.1.1698,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus
11930,AB018157.1.1758,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Wicherhamiella-Candida,Wicherhamiella-Candida clade
11940,AB018171.1.1788,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Nakazawaea,Nakazawaea populi
11950,AB031391.1.1769,Ascomycota,Eurotiomycetes,Eurotiales,Incertae Sedis,Eladia,Penicillium sacculum
11967,AB000648.1.1733,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum eriense
11977,AB000654.1.1594,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Magnusiomyces,Magnusiomyces tetrasperma
11994,AB032632.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Goffeauzyma,Goffeauzyma gastrica
12010,AB013513.1.1785,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Millerozyma,Millerozyma farinosa
12020,AB001112.1.1772,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Cephaliophora,Cephaliophora tropica
12026,AB013531.1.1777,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
12027,AB001731.1.1758,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum brassicae
12041,AB021685.1.1761,Basidiomycota,Cystobasidiomycetes,Incertae Sedis,Incertae Sedis,Buckleyzyma,Buckleyzyma phyllomatis
12057,AB023468.1.1721,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia zobellii
12060,AB002068.1.1767,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus
12073,AB013567.1.1784,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces fabryi
12089,AB023947.1.1732,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys,Byssochlamys spectabilis
12091,AB003789.1.1748,Ascomycota,Sordariomycetes,Sordariales,Incertae Sedis,Kionochaeta,Kionochaeta spissa
12101,AB003947.1.1774,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces luteus
12104,AB013581.1.1781,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
12121,AB018172.1.1763,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Hypopichia-Candida,Hypopichia-Candida clade
12123,AB003951.1.1779,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Parengyodontium,[Tritirachium] sp. IAM 14522
12126,AB001767.1.1758,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Trichosporon sp. JCM 9941
12138,AB002069.1.1621,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus glaucus
12147,AB007654.1.1745,Ascomycota,Sordariomycetes,Microascales,Graphiaceae,Graphium,Graphium penicillioides
12187,AB007681.1.2105,Ascomycota,Sordariomycetes,Microascales,Graphiaceae,Graphium,Graphium penicillioides
12190,AB015773.1.1686,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,Gymnoascus,Gymnoascus petalosporus
12195,AB000650.1.1595,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Magnusiomyces,Magnusiomyces capitatus
12209,AB000657.1.1596,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Magnusiomyces,Magnusiomyces ovetensis
12213,AB019217.1.1723,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp. IFO 1788
12223,AB000949.1.1740,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina communis
12225,AB005480.1.1756,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella phaffii
12257,AB021672.1.1807,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces johnsonii
12268,AB011053.1.1404,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia suzutake
12290,AB001762.1.1758,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum montevideense
12298,AB018148.1.1778,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Middelhovenomyces,Middelhovenomyces petrohuensis
12310,AB018154.1.1756,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Wicherhamiella-Candida,Wicherhamiella-Candida clade
12314,AB008397.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus cervinus
12315,AB012953.1.2388,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Mycoarachis,Mycoarachis inversa
12327,AB013508.1.1776,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
12342,AB013510.1.1779,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,[Candida] cylindracea
12356,AB013525.1.1783,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Priceomyces fermenticarens
12358,AB018174.1.1706,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Candida silvanorum
12388,AB013546.1.1782,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
12397,AB008402.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus glaucus
12402,AB000959.1.1741,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina ulmi
12404,AB011052.1.1271,Basidiomycota,Pucciniomycetes,Pucciniales,Coleosporiaceae,Coleosporium,Coleosporium asterum
