"","scientificName"
"1","Archaeorhizomyces"
"2","Bacillicladium"
"3","Others (<2%)"
"4","Pseudogymnoascus"
"5","Stereopsis"
"6","Aureobasidium"
"7","Exophiala"
"8","Heliocephala"
"9","Oidiodendron"
"10","Phyllosticta"
"11","Venturia"
"12","Clavulicium"
"13","Craterocolla"
"14","Tausonia"
"15","Tremiscus"
"16","Gymnosporangium"
"17","Dothidea"
"18","Scleromitrula"
"19","Leohumicola"
"20","Hesseltinella"
